jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|y:n,  modelParams|sensorParams|encoders|ydot:n,  modelParams|sensorParams|encoders|speed_y:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|pred_speed_y:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|dy:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=speed_y,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=speed_y, 
1007,  1295,  completed,  eof,  2013-11-03 06:05:43,  2013-11-03 06:06:18,  35,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|dy:n_275.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2686,  None,  None,  None,  0.05005,  11,  14,  None,  3,  275,  275,  NontemporalMultiStep,  0.0525,  0.0906010846171,  51.038004677, 
1007,  1306,  completed,  eof,  2013-11-03 06:05:43,  2013-11-03 06:06:17,  34,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|sensorParams|encoders|pred_speed_y:n_275.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2686,  None,  None,  None,  0.05005,  11,  14,  275,  3,  None,  275,  NontemporalMultiStep,  0.0525,  0.0682431439162,  38.4431810401, 
1007,  1307,  completed,  eof,  2013-11-03 06:06:17,  2013-11-03 06:06:49,  32,  modelParams|sensorParams|encoders|speed_y:n_275.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2686,  None,  None,  275,  0.05005,  11,  14,  None,  3,  None,  275,  NontemporalMultiStep,  0.0525,  0.0879347018219,  49.5359602131, 
1007,  1308,  completed,  eof,  2013-11-03 06:06:18,  2013-11-03 06:06:50,  32,  modelParams|sensorParams|encoders|y:n_275.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2686,  275,  None,  None,  0.05005,  11,  14,  None,  3,  None,  275,  NontemporalMultiStep,  0.0525,  0.0533058608412,  30.0286115384, 
1007,  1309,  completed,  eof,  2013-11-03 06:06:49,  2013-11-03 06:07:23,  34,  modelParams|sensorParams|encoders|ydot:n_275.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2686,  None,  275,  None,  0.05005,  11,  14,  None,  3,  None,  275,  NontemporalMultiStep,  0.0525,  0.0906010846171,  51.038004677, 
1007,  1310,  completed,  eof,  2013-11-03 06:06:50,  2013-11-03 06:07:47,  57,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|dy:n_28.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  None,  None,  None,  0.0001,  9,  12,  None,  1,  28,  28,  TemporalMultiStep,  0.005,  0.0831734168015,  46.8538015152, 
1007,  1311,  completed,  eof,  2013-11-03 06:07:23,  2013-11-03 06:08:10,  47,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|sensorParams|encoders|pred_speed_y:n_28.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  None,  None,  None,  0.0001,  9,  12,  28,  1,  None,  28,  TemporalMultiStep,  0.005,  0.0731050365098,  41.1820146643, 
1007,  1312,  completed,  eof,  2013-11-03 06:07:47,  2013-11-03 06:08:40,  53,  modelParams|sensorParams|encoders|speed_y:n_28.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  None,  None,  28,  0.0001,  9,  12,  None,  1,  None,  28,  TemporalMultiStep,  0.005,  0.0784934029752,  44.2174250462, 
1007,  1313,  completed,  eof,  2013-11-03 06:08:10,  2013-11-03 06:08:58,  48,  modelParams|sensorParams|encoders|y:n_28.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  28,  None,  None,  0.0001,  9,  12,  None,  1,  None,  28,  TemporalMultiStep,  0.005,  0.0681438244699,  38.3872317501, 
1007,  1314,  completed,  eof,  2013-11-03 06:08:40,  2013-11-03 06:09:38,  58,  modelParams|sensorParams|encoders|ydot:n_28.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  None,  28,  None,  0.0001,  9,  12,  None,  1,  None,  28,  TemporalMultiStep,  0.005,  0.0831734168015,  46.8538015152, 
1007,  1315,  completed,  eof,  2013-11-03 06:08:58,  2013-11-03 06:09:33,  35,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|dy:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  None,  None,  None,  0.1,  12,  16,  None,  5,  521,  521,  NontemporalMultiStep,  0.1,  0.0907339577133,  51.1128556319, 
1007,  1316,  completed,  eof,  2013-11-03 06:09:33,  2013-11-03 06:10:09,  36,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|sensorParams|encoders|pred_speed_y:n_521.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  None,  None,  None,  0.1,  12,  16,  521,  5,  None,  521,  NontemporalMultiStep,  0.1,  0.0726539140045,  40.9278853386, 
1007,  1317,  completed,  eof,  2013-11-03 06:09:38,  2013-11-03 06:10:13,  35,  modelParams|sensorParams|encoders|speed_y:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  None,  None,  521,  0.1,  12,  16,  None,  5,  None,  521,  NontemporalMultiStep,  0.1,  0.0816844716342,  46.0150390354, 
1007,  1318,  completed,  eof,  2013-11-03 06:10:09,  2013-11-03 06:10:44,  35,  modelParams|sensorParams|encoders|y:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  521,  None,  None,  0.1,  12,  16,  None,  5,  None,  521,  NontemporalMultiStep,  0.1,  0.0545586558387,  30.7343443363, 
1007,  1319,  completed,  eof,  2013-11-03 06:10:13,  2013-11-03 06:10:48,  35,  modelParams|sensorParams|encoders|ydot:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  None,  521,  None,  0.1,  12,  16,  None,  5,  None,  521,  NontemporalMultiStep,  0.1,  0.0907339577133,  51.1128556319, 
1007,  1320,  completed,  eof,  2013-11-03 06:10:44,  2013-11-03 06:11:44,  60,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|dy:n_151.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  None,  None,  None,  0.025075,  10,  13,  None,  2,  151,  151,  TemporalMultiStep,  0.02875,  0.0962402358359,  54.2146887917, 
1007,  1321,  completed,  eof,  2013-11-03 06:10:48,  2013-11-03 06:11:41,  53,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|sensorParams|encoders|pred_speed_y:n_151.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  None,  None,  None,  0.025075,  10,  13,  151,  2,  None,  151,  TemporalMultiStep,  0.02875,  0.0760597632506,  42.8464909545, 
1007,  1322,  completed,  eof,  2013-11-03 06:11:41,  2013-11-03 06:12:38,  57,  modelParams|sensorParams|encoders|speed_y:n_151.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  None,  None,  151,  0.025075,  10,  13,  None,  2,  None,  151,  TemporalMultiStep,  0.02875,  0.0847400682633,  47.736338021, 
1007,  1323,  completed,  eof,  2013-11-03 06:11:44,  2013-11-03 06:12:37,  53,  modelParams|sensorParams|encoders|y:n_151.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  151,  None,  None,  0.025075,  10,  13,  None,  2,  None,  151,  TemporalMultiStep,  0.02875,  0.0554438264111,  31.2329845017, 
1007,  1324,  completed,  eof,  2013-11-03 06:12:37,  2013-11-03 06:13:37,  60,  modelParams|sensorParams|encoders|ydot:n_151.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  None,  151,  None,  0.025075,  10,  13,  None,  2,  None,  151,  TemporalMultiStep,  0.02875,  0.0962402358359,  54.2146887917, 
1007,  1325,  completed,  eof,  2013-11-03 06:12:38,  2013-11-03 06:13:13,  35,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|dy:n_398.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2686,  None,  None,  None,  0.075025,  11,  15,  None,  4,  398,  398,  NontemporalMultiStep,  0.07625,  0.0898913902418,  50.6382149283, 
1007,  1326,  completed,  eof,  2013-11-03 06:13:13,  2013-11-03 06:13:48,  35,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|sensorParams|encoders|pred_speed_y:n_398.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2686,  None,  None,  None,  0.075025,  11,  15,  398,  4,  None,  398,  NontemporalMultiStep,  0.07625,  0.0690040026756,  38.8717930494, 
1007,  1327,  completed,  eof,  2013-11-03 06:13:37,  2013-11-03 06:14:11,  34,  modelParams|sensorParams|encoders|speed_y:n_398.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2686,  None,  None,  398,  0.075025,  11,  15,  None,  4,  None,  398,  NontemporalMultiStep,  0.07625,  0.0817441516195,  46.048658361, 
1007,  1328,  completed,  eof,  2013-11-03 06:13:48,  2013-11-03 06:14:23,  35,  modelParams|sensorParams|encoders|y:n_398.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2686,  398,  None,  None,  0.075025,  11,  15,  None,  4,  None,  398,  NontemporalMultiStep,  0.07625,  0.0535343380429,  30.157318833, 
1007,  1329,  completed,  eof,  2013-11-03 06:14:12,  2013-11-03 06:14:46,  34,  modelParams|sensorParams|encoders|ydot:n_398.modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|_classifierInput|n_398.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2686,  None,  398,  None,  0.075025,  11,  15,  None,  4,  None,  398,  NontemporalMultiStep,  0.07625,  0.0898913902418,  50.6382149283, 
1007,  1330,  completed,  eof,  2013-11-03 06:14:23,  2013-11-03 06:15:28,  65,  modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|dy:n_225.modelParams|sensorParams|encoders|_classifierInput|n_225.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.043,  2686,  None,  None,  None,  0.06004,  11,  16,  None,  3,  225,  225,  TemporalMultiStep,  0.043,  0.0980669735871,  55.2437388332, 
1007,  1331,  completed,  eof,  2013-11-03 06:14:46,  2013-11-03 06:15:40,  54,  modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|sensorParams|encoders|pred_speed_y:n_225.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_225.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.043,  2686,  None,  None,  None,  0.06004,  11,  16,  225,  3,  None,  225,  TemporalMultiStep,  0.043,  0.073210254137,  41.2412865568, 
1007,  1332,  completed,  eof,  2013-11-03 06:15:28,  2013-11-03 06:15:46,  18,  modelParams|sensorParams|encoders|speed_y:n_225.modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_225.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.043,  759,  None,  None,  225,  0.06004,  11,  16,  None,  3,  None,  225,  TemporalMultiStep,  0.043,  0.100488756529,  61.0927507204, 
1007,  1333,  completed,  eof,  2013-11-03 06:15:40,  2013-11-03 06:15:46,  6,  modelParams|sensorParams|encoders|y:n_225.modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_225.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.043,  228,  225,  None,  None,  0.06004,  11,  16,  None,  3,  None,  225,  TemporalMultiStep,  0.043,  0.121354708572,  69.03014555, 
